nid,px,py,dx,dy,pready,pdue,dready,ddue,demand,service_time,time
1,150.0,26.0,88.0,15.0,0.0,3114.0,0.0,3118.0,16.0,10,0
2,84.0,188.0,66.0,98.0,0.0,3114.0,2537.0,2650.0,17.0,10,0
3,83.0,112.0,59.0,139.0,0.0,3183.0,0.0,3147.0,28.0,10,0
4,195.0,132.0,191.0,124.0,0.0,3103.0,0.0,3109.0,6.0,10,0
5,101.0,127.0,112.0,174.0,0.0,3176.0,277.0,403.0,31.0,10,0
6,113.0,151.0,146.0,166.0,0.0,3151.0,1466.0,1586.0,2.0,10,0
7,45.0,95.0,49.0,71.0,0.0,3148.0,0.0,3145.0,15.0,10,0
8,92.0,178.0,81.0,183.0,0.0,3125.0,0.0,3118.0,26.0,10,0
9,1.0,54.0,10.0,60.0,0.0,3094.0,0.0,3105.0,14.0,10,0
10,142.0,27.0,110.0,8.0,0.0,3119.0,1945.0,1999.0,11.0,10,0
11,112.0,42.0,184.0,110.0,0.0,3144.0,0.0,3119.0,33.0,10,0
12,16.0,141.0,28.0,127.0,0.0,3110.0,0.0,3127.0,20.0,10,0
13,67.0,127.0,67.0,127.0,110.0,232.0,110.0,232.0,21.0,10,0
14,148.0,157.0,111.0,129.0,0.0,3129.0,0.0,3172.0,21.0,10,0
15,113.0,158.0,154.0,184.0,0.0,3144.0,0.0,3104.0,19.0,10,0
16,7.0,119.0,8.0,89.0,0.0,3109.0,0.0,3111.0,30.0,10,0
17,74.0,163.0,74.0,163.0,2548.0,2692.0,2548.0,2692.0,21.0,10,0
18,25.0,48.0,35.0,9.0,0.0,3112.0,0.0,3092.0,11.0,10,0
19,26.0,41.0,58.0,19.0,569.0,696.0,736.0,838.0,14.0,10,0
20,113.0,14.0,95.0,50.0,2197.0,2355.0,0.0,3153.0,20.0,10,0
21,130.0,149.0,107.0,133.0,0.0,3146.0,0.0,3170.0,17.0,10,0
22,78.0,118.0,98.0,77.0,0.0,3175.0,0.0,3180.0,28.0,10,0
23,86.0,69.0,45.0,55.0,678.0,848.0,726.0,782.0,14.0,10,0
