nid,x,y,demand,ready_time,due_time,service_time,pid,did,time
0,200.0,200.0,40,0.0,1688.0,10,0,0,1.0
1,321.0,287.0,-39.0,601.0,611.0,10,245,0,-1
2,123.0,176.0,-20.0,1180.0,1190.0,10,184,0,-1
3,234.0,20.0,15.0,0.0,1495.0,10,0,345,0
4,256.0,385.0,-13.0,606.0,616.0,10,133,0,-1
5,108.0,399.0,23.0,219.0,229.0,10,0,367,91.09315823023147
6,303.0,258.0,-3.0,998.0,1008.0,10,761,0,-1
7,148.0,94.0,23.0,848.0,858.0,10,0,224,565.2783718564727
8,35.0,238.0,-13.0,201.0,211.0,10,114,0,-1
9,356.0,223.0,28.0,0.0,1521.0,10,0,337,0
10,349.0,324.0,-26.0,548.0,558.0,10,496,0,-1
11,29.0,9.0,-10.0,835.0,845.0,10,545,0,-1
12,21.0,82.0,26.0,852.0,862.0,10,0,314,17.329514761777702
13,146.0,320.0,-21.0,507.0,517.0,10,799,0,-1
14,337.0,81.0,-30.0,723.0,733.0,10,459,0,-1
15,160.0,313.0,-31.0,869.0,879.0,10,681,0,-1
16,237.0,243.0,9.0,56.0,66.0,10,0,256,0
17,343.0,134.0,-23.0,1019.0,1029.0,10,333,0,-1
18,13.0,59.0,-5.0,569.0,579.0,10,311,0,-1
19,123.0,30.0,-15.0,708.0,718.0,10,701,0,-1
20,156.0,32.0,-7.0,0.0,1505.0,10,336,0,-1
21,361.0,194.0,-20.0,0.0,1517.0,10,447,0,-1
22,330.0,310.0,-9.0,688.0,698.0,10,721,0,-1
23,326.0,335.0,-18.0,0.0,1494.0,10,369,0,-1
24,209.0,283.0,-19.0,627.0,637.0,10,152,0,-1
25,267.0,221.0,24.0,597.0,607.0,10,0,408,415.2890265249857
26,57.0,124.0,24.0,161.0,171.0,10,0,75,7.2100631207371855
27,280.0,5.0,9.0,1026.0,1036.0,10,0,195,835.8678863973787
28,92.0,238.0,-21.0,1224.0,1234.0,10,305,0,-1
29,51.0,205.0,26.0,0.0,1529.0,10,0,344,0
30,369.0,6.0,16.0,557.0,567.0,10,0,156,285.6631797373259
31,131.0,89.0,26.0,150.0,160.0,10,0,607,32.17861579655502
32,359.0,157.0,-15.0,0.0,1514.0,10,605,0,-1
33,195.0,148.0,-22.0,1336.0,1346.0,10,258,0,-1
34,239.0,252.0,20.0,1342.0,1352.0,10,0,807,475.9274373664517
35,328.0,8.0,36.0,0.0,1448.0,10,0,683,0
36,162.0,316.0,-3.0,606.0,616.0,10,553,0,-1
37,184.0,233.0,19.0,36.0,46.0,10,0,87,0
38,29.0,86.0,28.0,580.0,590.0,10,0,628,253.40990275960797
39,340.0,276.0,-13.0,878.0,888.0,10,230,0,-1
40,129.0,53.0,-25.0,761.0,771.0,10,585,0,-1
41,332.0,124.0,-15.0,344.0,354.0,10,63,0,-1
42,55.0,115.0,-17.0,793.0,803.0,10,222,0,-1
43,393.0,246.0,-35.0,518.0,528.0,10,233,0,-1
44,348.0,319.0,-11.0,0.0,1489.0,10,343,0,-1
45,361.0,287.0,13.0,266.0,276.0,10,0,57,76.87079669250942
46,16.0,114.0,-28.0,733.0,743.0,10,766,0,-1
47,353.0,65.0,24.0,316.0,326.0,10,0,139,80.45712288887825
48,73.0,126.0,38.0,429.0,439.0,10,0,667,295.755582381253
49,91.0,61.0,-17.0,1486.0,1496.0,10,508,0,-1
50,117.0,148.0,14.0,97.0,107.0,10,0,76,0.3050416449339577
51,60.0,319.0,29.0,265.0,275.0,10,0,354,109.76469776189607
52,244.0,50.0,-14.0,0.0,1522.0,10,679,0,-1
53,79.0,95.0,22.0,1236.0,1246.0,10,0,809,559.133295111142
54,255.0,80.0,11.0,530.0,540.0,10,0,94,322.2155995056597
55,319.0,115.0,16.0,0.0,1532.0,10,0,770,0
56,35.0,160.0,-19.0,1027.0,1037.0,10,757,0,-1
57,358.0,309.0,-13.0,866.0,876.0,10,45,0,-1
58,232.0,131.0,-8.0,1146.0,1156.0,10,604,0,-1
59,161.0,124.0,17.0,0.0,1593.0,10,0,666,0
60,85.0,128.0,-14.0,1298.0,1308.0,10,385,0,-1
61,211.0,153.0,14.0,66.0,76.0,10,0,624,0.7933989186705499
62,152.0,361.0,-25.0,0.0,1510.0,10,713,0,-1
63,327.0,115.0,15.0,313.0,323.0,10,0,41,8.497832341739514
64,151.0,231.0,10.0,89.0,99.0,10,0,506,6.275366260061378
65,210.0,294.0,43.0,0.0,1584.0,10,0,794,0
66,264.0,341.0,-19.0,0.0,1524.0,10,220,0,-1
67,309.0,53.0,26.0,337.0,347.0,10,0,824,256.04134907443176
68,108.0,75.0,24.0,0.0,1523.0,10,0,609,0
69,303.0,358.0,37.0,0.0,1490.0,10,0,739,0
70,33.0,226.0,-8.0,1202.0,1212.0,10,185,0,-1
71,378.0,118.0,-23.0,737.0,747.0,10,147,0,-1
72,26.0,70.0,3.0,931.0,941.0,10,0,670,277.13659395711693
73,45.0,291.0,-14.0,0.0,1499.0,10,92,0,-1
74,329.0,208.0,20.0,1327.0,1337.0,10,0,554,906.3312950316439
75,30.0,39.0,-24.0,378.0,388.0,10,26,0,-1
76,78.0,85.0,-14.0,751.0,761.0,10,50,0,-1
77,4.0,307.0,-11.0,1087.0,1097.0,10,295,0,-1
78,151.0,188.0,18.0,50.0,60.0,10,0,722,0
79,14.0,53.0,-29.0,815.0,825.0,10,779,0,-1
80,125.0,182.0,24.0,77.0,87.0,10,0,124,8.590769505763175
81,232.0,127.0,13.0,79.0,89.0,10,0,610,11.856382724272178
82,368.0,63.0,22.0,0.0,1462.0,10,0,207,0
83,280.0,224.0,20.0,237.0,247.0,10,0,129,126.37268437420425
84,348.0,102.0,26.0,402.0,412.0,10,0,240,32.5032475119825
85,319.0,160.0,26.0,178.0,188.0,10,0,804,109.03728313019175
86,116.0,102.0,-15.0,824.0,834.0,10,315,0,-1
87,192.0,268.0,-19.0,534.0,544.0,10,37,0,-1
88,220.0,337.0,-24.0,322.0,332.0,10,776,0,-1
89,264.0,69.0,15.0,675.0,685.0,10,0,449,170.7407918941393
90,142.0,238.0,-15.0,1187.0,1197.0,10,583,0,-1
91,231.0,229.0,-27.0,1213.0,1223.0,10,785,0,-1
92,81.0,290.0,14.0,411.0,421.0,10,0,73,329.5492490622323
93,290.0,82.0,24.0,908.0,918.0,10,0,304,525.7770021852069
94,207.0,185.0,-11.0,1230.0,1240.0,10,54,0,-1
95,21.0,255.0,-32.0,771.0,781.0,10,421,0,-1
96,353.0,357.0,20.0,230.0,240.0,10,0,334,36.248628400455
97,324.0,184.0,25.0,0.0,1553.0,10,0,275,0
98,305.0,255.0,11.0,321.0,331.0,10,0,613,37.8396541862514
99,381.0,27.0,-21.0,473.0,483.0,10,510,0,-1
100,137.0,132.0,-15.0,226.0,236.0,10,740,0,-1
101,147.0,376.0,36.0,203.0,213.0,10,0,466,18.890065895326774
102,312.0,247.0,14.0,0.0,1557.0,10,0,236,0
103,163.0,270.0,-41.0,555.0,565.0,10,519,0,-1
104,384.0,307.0,7.0,0.0,1466.0,10,0,306,0
105,375.0,294.0,2.0,613.0,623.0,10,0,370,295.2678623405277
106,274.0,247.0,-33.0,954.0,964.0,10,463,0,-1
107,225.0,53.0,23.0,1092.0,1102.0,10,0,482,459.25283818689303
108,292.0,392.0,18.0,671.0,681.0,10,0,269,570.3014546494358
109,267.0,321.0,26.0,643.0,653.0,10,0,833,54.87991891010633
110,228.0,96.0,-22.0,0.0,1571.0,10,217,0,-1
111,334.0,186.0,1.0,0.0,1544.0,10,0,638,0
112,339.0,3.0,8.0,813.0,823.0,10,0,313,263.3995709818894
113,158.0,85.0,-15.0,943.0,953.0,10,581,0,-1
114,75.0,238.0,13.0,0.0,1548.0,10,0,8,0
115,213.0,216.0,-21.0,0.0,1658.0,10,484,0,-1
116,122.0,105.0,7.0,0.0,1556.0,10,0,283,0
117,303.0,112.0,-34.0,883.0,893.0,10,396,0,-1
118,307.0,396.0,28.0,782.0,792.0,10,0,802,131.86058589838765
119,13.0,220.0,-18.0,1075.0,1085.0,10,507,0,-1
120,299.0,227.0,25.0,108.0,118.0,10,0,529,6.069573106761753
121,230.0,234.0,-7.0,1571.0,1581.0,10,759,0,-1
122,299.0,399.0,11.0,0.0,1456.0,10,0,359,0
123,366.0,340.0,23.0,725.0,735.0,10,0,630,3.934901485653319
124,46.0,197.0,-24.0,0.0,1524.0,10,80,0,-1
125,97.0,387.0,37.0,0.0,1465.0,10,0,504,0
126,234.0,7.0,-26.0,1126.0,1136.0,10,792,0,-1
127,327.0,11.0,22.0,600.0,610.0,10,0,771,424.0565779247514
128,348.0,189.0,-5.0,0.0,1530.0,10,189,0,-1
129,266.0,234.0,-20.0,923.0,933.0,10,83,0,-1
130,184.0,69.0,1.0,513.0,523.0,10,0,744,418.8788513186804
131,158.0,121.0,-18.0,1115.0,1125.0,10,684,0,-1
132,206.0,7.0,8.0,804.0,814.0,10,0,438,738.5651113662813
133,260.0,352.0,13.0,405.0,415.0,10,0,4,318.6320279194407
134,184.0,235.0,-8.0,0.0,1640.0,10,425,0,-1
135,202.0,6.0,20.0,646.0,656.0,10,0,806,73.06588807005089
136,325.0,311.0,15.0,623.0,633.0,10,0,555,409.85928206215675
137,143.0,159.0,-13.0,0.0,1608.0,10,765,0,-1
138,259.0,285.0,14.0,103.0,113.0,10,0,597,9.159100669382966
139,366.0,97.0,-24.0,782.0,792.0,10,47,0,-1
140,87.0,147.0,7.0,884.0,894.0,10,0,626,193.22925464304723
141,48.0,304.0,15.0,240.0,250.0,10,0,710,131.86069610151145
142,76.0,72.0,-9.0,1020.0,1030.0,10,172,0,-1
143,1.0,335.0,-39.0,0.0,1438.0,10,249,0,-1
144,157.0,220.0,-16.0,1386.0,1396.0,10,649,0,-1
145,400.0,373.0,7.0,0.0,1414.0,10,0,432,0
146,123.0,159.0,30.0,1325.0,1335.0,10,0,208,1262.5454272932025
147,377.0,144.0,23.0,477.0,487.0,10,0,71,17.864078086288615
148,200.0,144.0,12.0,91.0,101.0,10,0,700,6.553495499262093
149,52.0,94.0,14.0,0.0,1496.0,10,0,263,0
150,140.0,344.0,-21.0,1298.0,1308.0,10,219,0,-1
151,390.0,376.0,2.0,473.0,483.0,10,0,271,381.3501371243331
