nid,x,y,demand,ready_time,due_time,service_time,pid,did,time
0,200.0,200.0,40,0.0,6289.0,10,0,0,1.0
1,244.0,56.0,-13.0,2648.0,2768.0,10,484,0,-1
2,245.0,106.0,-13.0,486.0,606.0,10,480,0,-1
3,233.0,214.0,10.0,314.0,434.0,10,0,802,176.91774733702073
4,395.0,340.0,24.0,900.0,1020.0,10,0,348,274.06393749109594
5,229.0,371.0,7.0,4051.0,4171.0,10,0,723,3664.4305516029162
6,384.0,248.0,35.0,0.0,6089.0,10,0,263,0
7,277.0,163.0,10.0,0.0,6194.0,10,0,70,0
8,52.0,94.0,-20.0,4567.0,4687.0,10,119,0,-1
9,89.0,152.0,20.0,564.0,684.0,10,0,531,493.50170198897786
10,218.0,284.0,-20.0,801.0,921.0,10,631,0,-1
11,340.0,276.0,43.0,0.0,6120.0,10,0,355,0
12,206.0,106.0,-30.0,0.0,6185.0,10,431,0,-1
13,375.0,247.0,10.0,706.0,826.0,10,0,608,259.51971134383285
14,113.0,179.0,-20.0,784.0,904.0,10,332,0,-1
15,348.0,280.0,-1.0,868.0,988.0,10,491,0,-1
16,223.0,372.0,-20.0,0.0,6106.0,10,793,0,-1
17,361.0,287.0,-8.0,0.0,6096.0,10,255,0,-1
18,6.0,62.0,23.0,3588.0,3708.0,10,0,418,3136.413533870343
19,37.0,397.0,-30.0,0.0,6024.0,10,508,0,-1
20,364.0,27.0,20.0,0.0,6041.0,10,0,49,0
21,14.0,201.0,-20.0,0.0,6093.0,10,628,0,-1
22,325.0,294.0,22.0,0.0,6123.0,10,0,708,0
23,41.0,382.0,-8.0,0.0,6038.0,10,303,0,-1
24,325.0,130.0,-20.0,4153.0,4273.0,10,593,0,-1
25,384.0,47.0,-10.0,4365.0,4485.0,10,352,0,-1
26,116.0,181.0,-5.0,0.0,6193.0,10,241,0,-1
27,346.0,155.0,20.0,0.0,6127.0,10,0,659,0
28,359.0,30.0,-17.0,0.0,6047.0,10,254,0,-1
29,222.0,284.0,10.0,368.0,488.0,10,0,794,17.881861486976064
30,91.0,150.0,10.0,463.0,583.0,10,0,527,75.89360812148911
31,140.0,387.0,-30.0,0.0,6083.0,10,460,0,-1
32,176.0,154.0,15.0,148.0,268.0,10,0,616,21.955246617627548
33,352.0,383.0,16.0,0.0,6042.0,10,0,684,0
34,213.0,332.0,-30.0,0.0,6147.0,10,194,0,-1
35,133.0,68.0,20.0,698.0,818.0,10,0,146,282.42981586032397
36,151.0,188.0,-10.0,0.0,6229.0,10,288,0,-1
