nid,px,py,dx,dy,pready,pdue,dready,ddue,demand,service_time,time
1,8.0,102.0,38.0,105.0,1228.0,1388.0,2808.0,2968.0,10.0,10,0
2,100.0,5.0,112.0,3.0,668.0,828.0,1345.0,1505.0,20.0,10,0
3,111.0,78.0,94.0,56.0,1021.0,1181.0,1721.0,1881.0,10.0,10,0
4,98.0,46.0,96.0,62.0,1914.0,2074.0,2817.0,2977.0,20.0,10,0
5,122.0,11.0,130.0,16.0,1922.0,2082.0,2022.0,2182.0,30.0,10,0
6,94.0,18.0,94.0,18.0,273.0,433.0,273.0,433.0,30.0,10,0
7,60.0,66.0,60.0,89.0,223.0,383.0,2597.0,2757.0,30.0,10,0
8,67.0,123.0,83.0,105.0,906.0,1066.0,2298.0,2458.0,20.0,10,0
9,99.0,53.0,93.0,61.0,1817.0,1977.0,2910.0,3070.0,20.0,10,0
10,26.0,24.0,12.0,31.0,173.0,333.0,739.0,899.0,20.0,10,0
11,27.0,32.0,9.0,9.0,1209.0,1369.0,2293.0,2453.0,20.0,10,0
12,25.0,31.0,27.0,44.0,1117.0,1277.0,1406.0,1566.0,20.0,10,0
13,120.0,10.0,98.0,36.0,1830.0,1990.0,3082.0,3242.0,20.0,10,0
14,104.0,82.0,101.0,68.0,624.0,784.0,917.0,1077.0,30.0,10,0
15,45.0,68.0,49.0,48.0,421.0,581.0,1403.0,1563.0,30.0,10,0
16,41.0,64.0,56.0,95.0,1023.0,1183.0,2500.0,2660.0,20.0,10,0
17,14.0,107.0,11.0,100.0,835.0,995.0,933.0,1093.0,20.0,10,0
18,112.0,2.0,131.0,4.0,1436.0,1596.0,1637.0,1797.0,20.0,10,0
19,98.0,116.0,94.0,89.0,2496.0,2656.0,2795.0,2955.0,30.0,10,0
20,62.0,128.0,70.0,113.0,713.0,873.0,1301.0,1461.0,20.0,10,0
21,123.0,64.0,94.0,59.0,1234.0,1394.0,3002.0,3162.0,20.0,10,0
22,64.0,59.0,57.0,77.0,1920.0,2080.0,2120.0,2280.0,10.0,10,0
23,20.0,93.0,20.0,108.0,173.0,333.0,739.0,899.0,10.0,10,0
24,20.0,109.0,10.0,118.0,648.0,808.0,1516.0,1676.0,10.0,10,0
25,76.0,65.0,61.0,66.0,7.0,167.0,132.0,292.0,40.0,10,0
26,103.0,12.0,128.0,0.0,571.0,731.0,1542.0,1702.0,20.0,10,0
27,44.0,62.0,46.0,52.0,1117.0,1277.0,1308.0,1468.0,30.0,10,0
28,62.0,125.0,96.0,138.0,620.0,780.0,1988.0,2148.0,30.0,10,0
29,50.0,29.0,21.0,28.0,59.0,219.0,1022.0,1182.0,10.0,10,0
30,6.0,121.0,26.0,91.0,1611.0,1771.0,3101.0,3261.0,20.0,10,0
31,78.0,61.0,98.0,75.0,22.0,182.0,723.0,883.0,40.0,10,0
32,85.0,85.0,69.0,48.0,325.0,485.0,3120.0,3280.0,20.0,10,0
33,19.0,96.0,19.0,116.0,454.0,614.0,2016.0,2176.0,10.0,10,0
34,63.0,103.0,60.0,111.0,134.0,294.0,426.0,586.0,20.0,10,0
35,54.0,102.0,73.0,119.0,233.0,393.0,1487.0,1647.0,20.0,10,0
36,91.0,91.0,95.0,68.0,424.0,584.0,821.0,981.0,10.0,10,0
37,77.0,15.0,123.0,19.0,67.0,227.0,2211.0,2371.0,10.0,10,0
38,61.0,107.0,77.0,117.0,332.0,492.0,1582.0,1742.0,10.0,10,0
39,121.0,9.0,115.0,41.0,1739.0,1899.0,2688.0,2848.0,10.0,10,0
40,15.0,23.0,12.0,33.0,547.0,707.0,831.0,991.0,30.0,10,0
41,44.0,82.0,74.0,56.0,802.0,962.0,1819.0,1979.0,20.0,10,0
42,117.0,55.0,111.0,70.0,1334.0,1494.0,2710.0,2870.0,20.0,10,0
43,98.0,28.0,116.0,10.0,373.0,533.0,1156.0,1316.0,10.0,10,0
44,29.0,36.0,38.0,16.0,1504.0,1664.0,1616.0,1776.0,20.0,10,0
45,90.0,91.0,90.0,91.0,2889.0,3049.0,2889.0,3049.0,10.0,10,0
46,60.0,52.0,62.0,73.0,1599.0,1759.0,3070.0,3230.0,20.0,10,0
47,103.0,55.0,105.0,49.0,1438.0,1598.0,2324.0,2484.0,20.0,10,0
48,28.0,115.0,26.0,102.0,2404.0,2564.0,2910.0,3070.0,10.0,10,0
49,15.0,96.0,4.0,137.0,360.0,520.0,1718.0,1878.0,10.0,10,0
50,67.0,84.0,64.0,78.0,2877.0,3037.0,2974.0,3134.0,30.0,10,0
51,23.0,22.0,4.0,15.0,357.0,517.0,2391.0,2551.0,20.0,10,0
52,47.0,63.0,56.0,56.0,326.0,486.0,1503.0,1663.0,30.0,10,0
53,25.0,66.0,80.0,40.0,917.0,1077.0,1712.0,1872.0,10.0,10,0
54,16.0,90.0,7.0,92.0,78.0,238.0,1128.0,1288.0,20.0,10,0
55,47.0,36.0,26.0,23.0,41.0,201.0,264.0,424.0,20.0,10,0
56,37.0,111.0,46.0,80.0,2712.0,2872.0,3322.0,3482.0,20.0,10,0
57,86.0,124.0,95.0,121.0,1781.0,1941.0,2188.0,2348.0,20.0,10,0
58,75.0,64.0,48.0,72.0,7.0,167.0,608.0,768.0,20.0,10,0
59,25.0,46.0,9.0,42.0,1313.0,1473.0,2689.0,2849.0,20.0,10,0
60,26.0,15.0,3.0,17.0,1999.0,2159.0,2483.0,2643.0,20.0,10,0
61,66.0,131.0,92.0,123.0,808.0,968.0,2094.0,2254.0,10.0,10,0
62,15.0,30.0,4.0,33.0,925.0,1085.0,2589.0,2749.0,20.0,10,0
63,63.0,100.0,66.0,117.0,41.0,201.0,1002.0,1162.0,10.0,10,0
64,17.0,25.0,17.0,18.0,454.0,614.0,2191.0,2351.0,10.0,10,0
65,57.0,87.0,65.0,73.0,2402.0,2562.0,3163.0,3323.0,10.0,10,0
66,109.0,25.0,102.0,33.0,2795.0,2955.0,2987.0,3147.0,10.0,10,0
67,7.0,113.0,24.0,105.0,1421.0,1581.0,2118.0,2278.0,10.0,10,0
68,37.0,115.0,35.0,88.0,2503.0,2663.0,3298.0,3458.0,20.0,10,0
69,14.0,133.0,51.0,115.0,1818.0,1978.0,2607.0,2767.0,30.0,10,0
70,96.0,55.0,114.0,63.0,1629.0,1789.0,2522.0,2682.0,20.0,10,0
71,116.0,23.0,113.0,36.0,2489.0,2649.0,2592.0,2752.0,20.0,10,0
72,49.0,70.0,57.0,70.0,516.0,676.0,2023.0,2183.0,20.0,10,0
73,19.0,41.0,30.0,58.0,2986.0,3146.0,3096.0,3256.0,10.0,10,0
74,81.0,135.0,86.0,109.0,1883.0,2043.0,2393.0,2553.0,20.0,10,0
75,29.0,10.0,24.0,19.0,1813.0,1973.0,2094.0,2254.0,30.0,10,0
76,94.0,1.0,119.0,20.0,766.0,926.0,2395.0,2555.0,10.0,10,0
77,13.0,80.0,25.0,94.0,57.0,217.0,3008.0,3168.0,30.0,10,0
78,80.0,63.0,91.0,71.0,22.0,182.0,220.0,380.0,20.0,10,0
79,47.0,57.0,59.0,77.0,1213.0,1373.0,2212.0,2372.0,30.0,10,0
80,96.0,23.0,103.0,19.0,177.0,337.0,474.0,634.0,30.0,10,0
81,3.0,98.0,26.0,104.0,1031.0,1191.0,2211.0,2371.0,10.0,10,0
82,18.0,107.0,18.0,123.0,555.0,715.0,1919.0,2079.0,10.0,10,0
83,58.0,85.0,64.0,88.0,2310.0,2470.0,2782.0,2942.0,10.0,10,0
84,11.0,23.0,41.0,12.0,641.0,801.0,1711.0,1871.0,10.0,10,0
85,15.0,94.0,30.0,106.0,268.0,428.0,2305.0,2465.0,30.0,10,0
86,106.0,0.0,105.0,26.0,960.0,1120.0,2889.0,3049.0,10.0,10,0
87,101.0,4.0,106.0,5.0,863.0,1023.0,1055.0,1215.0,10.0,10,0
88,65.0,80.0,70.0,110.0,11.0,171.0,1208.0,1368.0,10.0,10,0
89,28.0,14.0,7.0,52.0,1907.0,2067.0,2790.0,2950.0,20.0,10,0
90,87.0,63.0,116.0,34.0,121.0,281.0,2216.0,2376.0,30.0,10,0
91,80.0,22.0,120.0,20.0,49.0,209.0,2304.0,2464.0,10.0,10,0
92,117.0,10.0,126.0,20.0,1247.0,1407.0,2117.0,2277.0,10.0,10,0
93,103.0,33.0,103.0,33.0,2018.0,2178.0,2018.0,2178.0,10.0,10,0
94,104.0,51.0,113.0,67.0,2416.0,2576.0,2616.0,2776.0,20.0,10,0
95,75.0,103.0,79.0,128.0,1109.0,1269.0,1683.0,1843.0,20.0,10,0
96,10.0,50.0,10.0,50.0,2883.0,3043.0,2883.0,3043.0,20.0,10,0
97,72.0,117.0,95.0,103.0,1395.0,1555.0,2691.0,2851.0,10.0,10,0
98,106.0,81.0,101.0,59.0,532.0,692.0,1533.0,1693.0,20.0,10,0
99,45.0,71.0,64.0,89.0,701.0,861.0,2691.0,2851.0,10.0,10,0
100,60.0,115.0,94.0,104.0,520.0,680.0,2599.0,2759.0,20.0,10,0
101,10.0,105.0,36.0,94.0,1322.0,1482.0,3202.0,3362.0,20.0,10,0
102,129.0,77.0,101.0,32.0,1129.0,1289.0,2111.0,2271.0,10.0,10,0
